Date;Catégorie;Titre;Réalisateur;Animateurs;Résumé;Lien Youtube
03/02/02;Espace – Astronomie;Comètes et astéroïdes;Lorraine Subra-Moreau ;Sabine et Jamy ;D'où viennent les étoiles filantes ? C'est quoi exactement, une météorite ? Et les astéroïdes ? Et les comètes, avec leur queue qui s'étalent sur des dizaines de millions de kilomètres, d'où viennent-elle ? Sabine part à la chasse aux météorites. Nous découvrons avec elle le travail de fourmi qu'exige la recherche de ces cailloux célestes qui renferment un peu de notre histoire. Puis nous la retrouvons à l'Agence Spatiale Européenne pour découvrir le satellite Rosetta, qui, après un voyage spatial de presque 10 ans, devrait venir se placer sur l'orbite de la comète Wirtanen pour l'observer de près.  Jamy nous explique comment les astéroïdes sont apparus, pourquoi les étoiles filantes arrivent jusqu'à nous, mais aussi de quoi sont constituées les comètes;https://youtu.be/jmXWeUSBb2U
13/10/04;Espace – Astronomie;Le Very Large Telescope : l'Univers dans un miroir;François Davin, Emilio Pacull ;Fred et Jamy ;Pour observer l'univers et en sonder tous les mystères, les astronomes n'hésitent pas à prendre de l'altitude et à venir se perdre dans les endroits les plus isolés de la planète. Car c'est le noir qu'ils cherchent ! Des nuits profondes, éloignées de toute la pollution lumineuse des villes... Fred et Jamy se sont rendus aux portes du désert d'Atacama, au Nord du Chili. Dans cette région, qui est l'une des plus arides de la planète, aucun nuage ne voile jamais le ciel. L'air y est extraordinairement pur et la vue sur le ciel imprenable : pas un obstacle sur 360 degrés ! C'est là que, perché au sommet du Cerro Paranal, se cache l'un des plus grands télescopes au monde : le VLT. Le Very Large Telescope. Un télescope européen tellement puissant qu'il pourrait distinguer un homme se promenant sur la Lune.;https://youtu.be/MQKCPND4rEM
13/03/05;Espace – Astronomie;Les mystères de l'Univers;Emilio Pacull, François Davin ;Sabine, Fred et Jamy ;Comment notre univers est-il né ? Est-il toujours en expansion ? Que sait-on exactement du Big Bang ? Comment les galaxies sont-elles apparues ? Quelle est cette étrange « énergie noire » que traquent les astrophysiciens ? Et ces fameux trous noirs, pourquoi sont-ils noirs ? Et que se passe-t-il si Marcel roule à la vitesse de la lumière et qu'il allume ses phares... ?! Fred, Jamy et Sabine plongent au cœur des mystères qui entourent l'histoire de notre Univers.;https://youtu.be/ymEzkLAzv4w
18/01/06;Espace – Astronomie;La Terre vue de l'espace;Luc Baudonnière ;Sabine et Jamy ;Des dizaines de satellites tournent au-dessus de nos têtes, l'oeil rivé sur notre planète. Continent après continent, ville après ville, ils en explorent les moindres détails. Certains nous renseignent sur les bouleversements du climat, d'autres cartographient les fonds marins, tandis que d'autres encore sont spécialisés dans la chasse à la déforestation...Sabine et Jamy se penchent sur les missions de ces satellites d'observation. En s'appuyant sur les magnifiques clichés de notre Terre vue de l'espace, ils nous font découvrir la multitude des tâches qui leur incombent.;https://youtu.be/-LNT_6K9S5M
08/12/07;Espace – Astronomie;L'homme dans l'espace : histoire d'une conquête;Isabelle Hostaléry ;Fred et Jamy ;Un petit pas pour l'homme, un bond de géant pour l'Humanité. Nous étions en 1969. Neil Armstrong venait de poser le pied sur la Lune… Aujourd'hui dans C'est pas Sorcier, Fred et Jamy remontent le temps et nous offrent une passionnante plongée dans cinquante ans d'histoire de conquête spatiale. Du premier satellite qu'on parvint à placer en orbite aux robots qui arpentent désormais la planète Mars, ils retracent les grandes étapes de cette fabuleuse aventure;https://youtu.be/yuBxzyndcDs
02/08/09;Espace – Astronomie;Le Soleil : les Sorciers en connaissent un rayon;Catherine Breton ;Sabine et Jamy ;Gigantesque boule de gaz en activité, située à 150 millions de kilomètre de la Terre, il fascine toutes les civilisations qui ont fait de cette étoile une divinité parmi les 400 milliards d'étoiles qui peuplent la galaxie. L'équipe de C'est pas Sorcier proposent au cours de cette émission de partir à la découverte du Soleil, cet astre pas toujours aussi chaleureux... Sabine et Jamy nous invitent à partir à la découverte des colères de notre étoile !;https://youtu.be/F2zOHTOQg_U
09/08/09;Espace – Astronomie;Les exoplanètes : à la recherche d'autres mondes;Catherine Breton ;Sabine et Jamy ;Des planètes en dehors du système solaire, des nouveaux mondes qui tournent autour d'autres étoiles que le soleil... Les exoplanètes, comme on les appelle, fascinent les scientifiques à la recherche d'autres planètes habitables !;https://youtu.be/WWGm-qt05lw
20/09/09;Espace – Astronomie;Le système solaire revisité;Catherine Breton ;Sabine et Jamy ;Des Canaries à Meudon, l'équipe de C'est pas sorcier nous fait voyager au coeur du système solaire, composé du Soleil et des corps célestes : 8 planètes, 165 satellites naturels connus, 5 planètes naines et les milliards de petits corps (astéroïdes, objets glacés, comètes, météoroïdes, poussière interplanétaire, etc.). Depuis l'envoi dans l'espace de sondes spatiales toujours plus performantes et notamment grâce aux  fabuleuses images qu'elles retransmettent, on en sait maintenant beaucoup plus sur leur composition, leur atmosphère, leur histoire et même leurs satellites. Sabine et Jamy nous font découvrir tous les secrets que livre le système solaire.;https://youtu.be/I7cajVnzm8k
12/10/13;Espace – Astronomie;Kourou : Aux portes de l'Espace ;Richard Cloué ;Fred et Jamy ;INDISPO;INDISPO
28/12/13;Espace – Astronomie;L'espace : les nouveaux défis ;Richard Cloué ;Fred et Jamy ;INDISPO;INDISPO
15/10/95;Géologie;Le sel, de la mer à la terre;Catherine Breton ;Fred et Jamy ;L'équipe de C'est pas sorcier part récolter du sel à Aigues-Morte, dans les Salins du Midi. Nous suivons Fred et Jamy à 160 mètres de profondeur, dans la dernière mine de sel encore en exploitation. Car du sel, il n'y en a pas que dans la mer : il y en a aussi sous la terre !  Depuis la mer jusqu'aux tables salantes, nous allons parcourir les marais salants et suivre les transformations du chlorure de sodium (le sel de table !).  Puis à Varangeville, nous irons avec les mineurs récolter des blocs de sel à l'aide d'une haveuse et de bâtons de dynamite. Ces gros grains de sel ne finiront pas dans votre assiette, mais dans votre lave-vaisselle - pour adoucir l'eau, sur les routes à déneiger, ou dans l'industrie chimique.;https://youtu.be/ChUai6Wbm78
04/02/96;Géologie;Grottes, gouffres et abîmes;Franck Chaudemanche ;Fred et Jamy ;Fred et Jamy partent faire de la spéléologie dans les grottes et les gouffres de L'Hérault. Ils nous emmènent explorer des rivières souterraines et des grottes aux étranges concrétions. Ils sont en compagnie de Michel Siffre, ce fameux spéléologue qui, en 1962, passa 205 jours sous terre, totalement hors du temps.;https://youtu.be/uoLLLkK9o0k
15/12/96;Géologie;L'or c'est l'or;Franck Chaudemanche ;Fred et Jamy ;Fred et Jamy partent explorer la mine d'or de Lauriéras, dans le Limousin. Entre techniques de prospection et chantiers d'extraction, ils suivent tout le filon ! Après une petite promenade dans une rivière en compagnie d’un orpailleur, nous découvrons comment on traite le minerai d'or et comment sont fabriqués les lingots. Qu’est-ce que c’est l'or ? Comment un filon se forme-t-il ? A quoi ça ressemble, une mine d'or ? Qu’est-ce que c’est, un carat ?;https://youtu.be/VT8S88utHpc
30/04/00;Géologie;Les sorciers refont le monde (Histoire géologique de la Terre);Christine Berthollier ;Sabine et Jamy ;Fred, Jamy et Sabine jouent les détectives-géologues et tentent de retracer l'histoire de la Terre. D'abord vaste nuage de gaz, puis boule brûlante de roches liquides, la Terre a mis quelques milliards d'années pour accueillir les premières formes de vie. Ce sont d'abord des algues bleues, des filaments microscopiques et des mollusques primitifs... Puis viennent les poissons, les insectes, les dinosaures... L'homme, avec ses 1.3 millions d'années, est le grand retardataire du bestiaire terrestre ! Nos sorciers sont partis sur les traces d'une histoire vieille de plus de 300 millions d'années. Comment la Terre est-elle née ? Quels bouleversements a-t-elle connus ? Dans quel ordre sont apparus les êtres vivants qui peuplent ou ont peuplé notre planète ? Pourquoi la croûte terrestre bouge-t-elle en permanence ? Comment les océans et les continents se sont-ils transformés au cours de l'évolution ? Comment la chaîne des Alpes s'est-elle constituée ? Pourquoi y retrouve-t-on des fossiles marins ? A quoi notre monde ressemblera-t-il dans 50 millions d'années ?;https://youtu.be/YqIk1Pe2di8
10/06/01;Géologie;La pierre : les sorciers font carrière;Christophe Renon ;Fred et Jamy ;L'équipe de C'est pas sorcier nous explique tout sur l'origine des pierres et leurs modes d'extraction. Fred s'est rendu dans des carrières de marbre et de granit pour une émission... explosive ! On le retrouve dans le massif du Sidobre, dans le Sud-Ouest de la France : sous ses pieds repose une galette de granit de 10 km de long et 5 km de large. Nous découvrons avec lui comment on découpe, dans cette roche vieille de 300 millions d'années, des blocs de plusieurs milliers de tonnes. Il se rend ensuite dans une magnifique carrière de marbre rouge, à Caunes-Minervois;https://youtu.be/rfYxkcis2GY
14/10/01;Géologie;Les volcans, le grand show;Christophe Renon ;Fred et Jamy ;Fred, Jamy et Sabine sont dans les îles éoliennes, entre la Sicile et la péninsule italienne. Ce chapelet d'îles volcaniques, né de la rencontre chaotique des plaques africaine et européenne, abrite trois volcans encore en activité : Lipari, Vulcano et Stromboli, l'un des volcans les plus actifs au monde. Depuis ce petit paradis terrestre, ils nous offrent une découverte de l'extraordinaire diversité de l'activité volcanique. Pourquoi la plupart des volcans fleurissent-ils à la jonction des plaques de la croûte terrestre ? Comment naît un volcan ? Qu'est-ce qu'un point chaud ? Comment la lave remonte-t-elle des profondeurs du manteau terrestre ? Pourquoi parle-t-on de volcans effusifs et de volcans explosifs ?;https://youtu.be/0C-Gw-F7zkA
21/10/01;Géologie;L'Etna sous haute surveillance;Christophe Renon ;Fred et Jamy ;Les Siciliens ont appelé leur volcan le Mongibello, la Montagne des montagnes. Visible à 250 kilomètres à la ronde avec ses 3350 mètres de haut, l'Etna est le plus grand et le plus actif des volcans d'Europe. Les habitants qui se sont installés sur ses flancs ont vu maintes fois leurs terres si fertiles détruites par les coulées de lave. En 1669, la ville de Catane a été en partie détruite. Aujourd'hui encore, une vingtaine de communes restent menacées. L'équipe de C'est pas sorcier est partie osculter les soubresauts et les colères de cette gigantesque montagne. Elle nous fait partager l'extraordinaire spectacle d'une éruption nocturne, avec ses fontaines de lave à vous couper le souffle.;https://youtu.be/_FAOfsZJPng
15/09/02;Géologie;Les gorges de l'Ardèche : quelle descente !;Luc Baudonnière ;Fred et Jamy ;Pour dévaler la rivière d'un canyon vertigineux, nul besoin de s'embarquer pour les Etats-Unis ! Fred, Jamy et Sabine nous emmènent à la découverte des gorges de l'Ardèche et de leurs magnifiques falaises qui abritent des kilomètres de galeries, de grottes et de rivières souterraines. Entre une descente des rapides et une expédition de spéléologie, ils nous expliquent tout de la passionnante histoire géologique de ce canyon. Une histoire qui remonterait à 110 millions d'années... Comment le paisible lagon qui recouvrait l'Ardèche il y a bien longtemps a-t-il donné naissance au relief escarpé des gorges ? Comment la rivière a-t-elle sculpté l'arche naturelle qui enjambe l'Ardèche ? Comment le plateau calcaire des gorges est-il devenu un véritable gruyère où se cachent grottes et rivières souterraines ? Et pourquoi certaines galeries souterraines sont-elles si vastes ?;https://youtu.be/5NotmOjjNQI
03/11/02;Géologie;L'Auvergne : une région qui a du cratère;Lorraine Subra-Moreau ;Sabine et Jamy ;Fred, Jamy et Sabine nous offrent une jolie découverte de l'Auvergne. Ils décryptent pour nous les vestiges d'un passé volcanique tumultueux.;https://youtu.be/BtbceuumUiE
23/02/03;Géologie;Quand la Terre tremble;Bernard Gonner, François Chayé ;Sabine et Jamy ;Pourquoi la terre tremble-t-elle si souvent en certains points de la planète ? Comment les ondes se propagent-elles sur la croûte terrestre ? Quelles sont les techniques de constructions para-sismiques ?;https://youtu.be/c0UsOlqG_Xk
19/10/03;Géologie;L'Islande, terre de glace et de feu;Luc Baudonnière ;Fred et Jamy ;Des geysers qui projettent leurs gerbes d'eau brûlante à travers les airs, des volcans qui entrent en éruption sous un glacier, un lac où flottent des icebergs, des fjords étrangement sculptés par la glace...Cette île aux paysages uniques au monde a été façonnée par des volcans surgis de l'océan, il y a vingt millions d'années. Aujourd'hui encore, le feu et l'eau continuent de s'y livrer bataille, faisant de l'Islande une terre en perpétuelle évolution.Sous les tiraillements et les hoquets des profondeurs de notre planète, l'île s'agrandit, se creuse, se boursoufle et parfois -- avec ses terribles éruptions volcaniques - se met en colère Accompagnés de Jean-Marie Dautria -- un scientifique qui conna l'Islande comme sa poche -- Fred, Jamy et Sabine sont partis sur les traces de cette histoire géologique tourmentée.;https://youtu.be/xYsw5gcUPf0
12/09/04;Géologie;Les ocres annoncent la couleur;François Davin ;Sabine et Jamy ;Les ocres ornaient déjà les parois des grottes décorées par nos ancêtres préhistoriques. Aujourd'hui, elles affichent leurs couleurs flamboyantes sur les façades des maisons provençales. Pour comprendre l'origine de ces pigments naturels, il faut remonter 230 millions en arrière, lorsque la Provence se trouvait entièrement recouverte par la mer. Entre Roussillon et Rustrel, Fred, Jamy et Sabine sont partis à la découverte des gisements d'ocre qui, avec leurs cheminées de fées et leurs fabuleuses couleurs, font de notre belle Provence un véritable Colorado.;https://youtu.be/nT4thqGuiSw
28/10/04;Géologie;Étretat : les sorciers attaquent la falaise;Luc Baudonnière ;Sabine et Jamy ;Fred, Jamy et Sabine sont partis explorer les magnifiques falaises de Haute Normandie. Ils nous racontent les 90 millions d'années d'histoire géologique de ces gigantesques marches de craie poreuse et fragile qui se jettent dans la Manche. Comment ces immenses falaises de roche calcaire ont-elles vu le jour ? Pourquoi sont-elles si fragiles ? Pluie, gel ou travail de la mer... quelles forces sont à l'origine de leur recul incessant ?;https://youtu.be/r0zQr01hA20
06/02/05;Géologie;Le cuivre : les bons tuyaux;Emilio Pacull, François Davin ;Sabine et Jamy ;Aux portes du désert d'Atacama, au nord du Chili, se trouve la plus grande mine à ciel ouvert du monde : la mine de cuivre de Chuquicamata. Sabine s'est embarquée pour ce royaume de la démesure. Situées en plein désert, à 2800 mètres d'altitude, les fosses d'extraction s'y étendent sur des kilomètres. Les camions qui y circulent sont monstrueux. Et chaque jour, ce sont 170 000 tonnes de roches qui sont arrachées à la montagne. L'équipe de C'est pas sorcier part explorer cette mine géante et remonte toute la filière du cuivre.;https://youtu.be/IuTZnp3spBs
11/05/05;Géologie;La France souterraine;Catherine Breton ;Sabine et Jamy ;Le sol de la France est truffé de trous oubliés qui n'ont jamais été rebouchés. Car partout où la roche était tendre, l'homme s'est mis creuser. En Picardie et en Normandie, il a extrait la craie fine pour l'étendre sur ses cultures. En région parisienne, en Champagne ou en Touraine, c'est pour se procurer des matériaux de construction qu'il a attaqué la pierre ou le gypse. Dans l'Est et dans le Nord, il est descendu à plus de mille mètres de profondeur pour atteindre les veines de charbon. Sabine et Jamy sont partis explorer cette France souterraine qui menace de s'effondrer.;https://youtu.be/bq1WS1CVB1w
02/11/05;Géologie;Ile d'Ouessant : les sorciers sont à l'Ouest;François Davin ;Fred et Jamy ;Le camion de C'est pas Sorcier nous emmène à la pointe la plus occidentale du continent européen : l'île d'Ouessant, au large des côtes bretonnes. Fred et Jamy nous font d'abord découvrir l'histoire géologique du massif Armoricain, puis nous conduisent au cœur de la vie à Ouessant. Entre école, commerce et tourisme, comment les habitants vivent-ils sur cette île, balayée en permanence par des vents violents ?;https://youtu.be/j7nynWQ9BzM
31/05/06;Géologie;Le sable : les sorciers veillent au grain;Lorraine Subra-Moreau ;Sabine et Jamy ;Sabine et Jamy ont suivi le grand voyage des grains de sable. Entre deux leçons de géologie, ils nous expliquent pourquoi beaucoup des plages françaises sont aujourd'hui menacées de disparition. Postés sur la côte atlantique, ils décortiquent pour nous les minuscules grains de quartz, de grenat, de mica et d'olivine qui composent le sable et retracent leur histoire. Nous découvrons avec eux le problème épineux du recul du littoral et les mesures de protection qui sont prises aujourd'hui. Pourquoi la moitié de nos plages subit-elle ce phénomène d'érosion? Quelle part l'activité humaine occupe-t-elle dans ce scénario ? Les solutions actuellement mises en oeuvre sont-elles réellement efficaces ?;https://youtu.be/dH2JLrk9LnQ
17/02/10;Géologie;Géologie de la France : les sorciers font parler les cailloux;Pascal Léonard ;Fred, Sabine et Jamy ;La France a-t-elle toujours existée sur Terre ? Comment s'est elle formée ? A-t-elle beaucoup changé au cours des ères géologiques ? Fred, Sabine et Jamy partent sur le terrain pour retracer l'histoire géologique de notre pays.;https://youtu.be/JsEKovrBQs8
24/02/10;Géologie;Géologie de la France : les sorciers en font des montagnes;Pascal Léonard ;Fred, Sabine et Jamy ;Les Alpes, les Pyrénées, les volcans d'Auvergne sont autant de reliefs qui font le charme et la diversité des paysages français. Mais quand sont vraiment apparues les Alpes et les Pyrénées ? Pourquoi y a-t-il des volcans en France ? Pour répondre à ces questions, Fred et Sabine nous emmènent à la découverte de ces splendides paysages montagneux.;https://youtu.be/Xr9WJ-lTg-c
16/05/10;Géologie;Risque sismique aux Antilles : des îles sous la menace d’une catastrophe;Christian Cascio ;Fred et Jamy ;Suite au séisme qui a touché Haiti en janvier 2010, Fred et Jamy parte enquêter à la Martinique sur ce risque sismique et les moyens de prévention mis en œuvre.;https://youtu.be/jcrGcOLmqK4
15/09/12;Géologie;Le mystère des grottes de l’Ardèche;Laurent Lichtenstein ;Sabine et Jamy ;Les grottes sont intimement liées à l’histoire de nos rivières : tandis que celles-ci creusent leur lit et s’enfoncent dans les vallées, les galeries souterraines se mettent doucement à plonger vers les entrailles de la Terre, grignotant la roche toujours plus profondément. Mais en Ardèche, rien ne semble s’être passé ainsi : les grottes sont d’abord apparues dans les profondeurs et ont ensuite gagné du terrain en remontant vers la surface. Les rivières de la région se seraient-elles élevées dans les vallées, jouant ainsi les filles de l’air ? Comment un scénario pareil aurait-il pu se produire ?;https://youtu.be/7VYel9qtZ1w
22/12/12;Géologie;La Réunion, dans les entrailles du volcan... ;Pascal Léonard ;Fred et Jamy ;Fred, Jamy et Sabine nous font découvrir l'histoire de cette jeune île volcanique qui émergea voilà maintenant 3 millions d'années au cœur de l'Océan Indien, à 800 km au large de Madagascar. Fred nous entraîne dans l'ascension du Piton de la Fournaise. Toujours très actif, ce volcan façonne de somptueux paysages au gré de ses éruptions. Puis nous le retrouvons en expédition dans la forêt primaire de Bebour,  survolant en hélicoptère les fameux cirques de l'île et le Trou de Fer ou encore en canyoning dans l'impressionnante cascade de Langevin. Jamy nous explique comment est apparu cette île au milieu de l'océan, l'histoire des volcans qui la constituent et il nous raconte comment la végétation a colonisé progressivement cette petite île volcanique.;https://youtu.be/FpA0cgSucx4
15/01/13;Géologie;Sahara, le plus grand des déserts ;Pascal Léonard ;Fred et Jamy ;Fred et Jamy quittent le continent européen pour aller dans le plus grand désert du monde : le Sahara. En 4x4, à dos de dromadaire ou de mulet, ils nous font découvrir le désert et ses habitants. Fred nous montre que ce désert de 8 millions de km carrés n'est pas fait que de sable et de dunes, mais de paysages variés : gorges, regs  (vallées de cailloux) et falaises de grès. Il nous parle des conditions climatiques, de l'aridité et des végétaux qui se sont adaptés à la sécheresse comme l'arbre Acacia Raddiana. Ce sera l'occasion de faire un tour d'horizon des principaux déserts de notre planète qui couvrent jusqu'à 20 % de sa surface. A Laayoune, Fred part à la rencontre des Peuls et des Touaregs, nomades du Sahara. Mais, il découvre également des agriculteurs sédentaires dans le village de Tarfaya. Nous verrons aussi comment certaines espèces animales vivent dans le désert et bien sûr le plus étonnant des animaux du Sahara : le dromadaire.;https://youtu.be/b1SCiHjvA5w
09/02/13;Géologie;La mer attaque la terre;Romain Dussaulx ;Sabine et Jamy ;Les communes du littoral français sont de plus en plus menacées par l’érosion marine. Sur la côte Aquitaine près de 400 bâtiments risquent d’être engloutis par la mer d’ici 2040. Si les plages de sable sont les plus touchées, la côte rocheuse n’est pas épargnée. Jamy et Sabine se rendent sur la côte Atlantique et en Méditerranée pour constater ce recul du littoral et voir comment communes et particuliers tentent de lutter contre l’érosion marine.;https://youtu.be/4ZN_6cKyO-Q
04/01/14;Géologie;Les chasseurs d'or;Richard Cloué ;Fred et Jamy ;Fred et Jamy partent explorer la mine d'or de Lauriéras, dans le Limousin. Entre techniques de prospection et chantiers d'extraction, ils suivent tout le filon ! Après une petite promenade dans une rivière en compagnie d’un orpailleur, nous découvrons comment on traite le minerai d'or et comment sont fabriqués les lingots. Qu’est-ce que c’est l'or ? Comment un filon se forme-t-il ? A quoi ça ressemble, une mine d'or ? Qu’est-ce que c’est, un carat ?;https://youtu.be/VT8S88utHpc
